company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,profile_url,platforms,platform_count,high_value
Unified Landscapes,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/unified-landscapes | https://www.myjobquote.co.uk/t/unified-landscapes,myjobquote,1,
T&J Fencing,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/tj-fencing-2 | https://www.myjobquote.co.uk/t/tj-fencing-2,myjobquote,1,
Sharpz,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/sharpz | https://www.myjobquote.co.uk/t/sharpz,myjobquote,1,
J.c.s landscaping & building ltd,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/jcs-landscaping-building-ltd | https://www.myjobquote.co.uk/t/jcs-landscaping-building-ltd,myjobquote,1,
Active home improvements,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/active-home-improvements | https://www.myjobquote.co.uk/t/active-home-improvements,myjobquote,1,
GHEORGHITA LTD,,Wooden Decking,,,4.8,19,,https://www.myjobquote.co.uk/t/gheorghita-ltd | https://www.myjobquote.co.uk/t/gheorghita-ltd,myjobquote,1,
ESM AGENCY LTD,,Wooden Decking,,,5,3,,https://www.myjobquote.co.uk/t/esm-agency-ltd | https://www.myjobquote.co.uk/t/esm-agency-ltd,myjobquote,1,
MER Solutions,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/mer-solutions | https://www.myjobquote.co.uk/t/mer-solutions,myjobquote,1,
TLC Maintenance,,Wooden Decking,,,5,2,,https://www.myjobquote.co.uk/t/tlc-maintenance-2 | https://www.myjobquote.co.uk/t/tlc-maintenance-2,myjobquote,1,
GreenFeat Gardening,,Wooden Decking,,,5,15,,https://www.myjobquote.co.uk/t/greenfeat-gardening | https://www.myjobquote.co.uk/t/greenfeat-gardening,myjobquote,1,
Our beautiful gardens,,Wooden Decking,,,5,2,,https://www.myjobquote.co.uk/t/our-beautiful-gardens | https://www.myjobquote.co.uk/t/our-beautiful-gardens,myjobquote,1,
Gazza&#039;s handyman & gardening services,,Wooden Decking,,,5,6,,https://www.myjobquote.co.uk/t/gazzas-handyman-gardening-services | https://www.myjobquote.co.uk/t/gazzas-handyman-gardening-services,myjobquote,1,
Garys gardens,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/garys-gardens-1 | https://www.myjobquote.co.uk/t/garys-gardens-1,myjobquote,1,
Rainbow group,,Wooden Decking,,,5,2,,https://www.myjobquote.co.uk/t/rainbow-group-1 | https://www.myjobquote.co.uk/t/rainbow-group-1,myjobquote,1,
Gardening,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/gardening-25 | https://www.myjobquote.co.uk/t/gardening-25,myjobquote,1,
Rain Gardens,,Wooden Decking,,,5,1,,https://www.myjobquote.co.uk/t/rain-gardens | https://www.myjobquote.co.uk/t/rain-gardens,myjobquote,1,
Sorin Marcu,,Wooden Decking,,,4,12,,https://www.myjobquote.co.uk/t/sorin-marcu | https://www.myjobquote.co.uk/t/sorin-marcu,myjobquote,1,
George Calin,,Wooden Decking,,,4.8,1,,https://www.myjobquote.co.uk/t/george-calin | https://www.myjobquote.co.uk/t/george-calin,myjobquote,1,
Richmond Landscaping,,Wooden Decking,,,1,1,,https://www.myjobquote.co.uk/t/richmond-landscaping | https://www.myjobquote.co.uk/t/richmond-landscaping,myjobquote,1,
ANG Property Services,,Wooden Decking,,,1,1,,https://www.myjobquote.co.uk/t/ang-property-services | https://www.myjobquote.co.uk/t/ang-property-services,myjobquote,1,
V&D CONSTRUCTION LTD,,Wooden Decking,,,2,1,,https://www.myjobquote.co.uk/t/vd-construction-ltd | https://www.myjobquote.co.uk/t/vd-construction-ltd,myjobquote,1,
The Regalia Florals,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/the-regalia-florals,myjobquote,1,
Garden update,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/garden-update,myjobquote,1,
EGT CONSTRUCTION LTD,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/egt-construction-ltd,myjobquote,1,
JTPLandscapes ltd,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/jtplandscapes-ltd,myjobquote,1,
Buildscape Bros Ltd,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/buildscape-bros-ltd,myjobquote,1,
BMContracotrs Ltd,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/bmcontracotrs-ltd,myjobquote,1,
Utopian Gardens Inc.,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/utopian-gardens-inc-7,myjobquote,1,
Cut back landscapes,,Wooden Decking,,,4.68,0,,https://www.myjobquote.co.uk/t/cut-back-landscapes,myjobquote,1,
