company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Full Decoration,,Bathroom Fitter,,,,,104,,,,,https://www.mybuilder.com/profile/danielespinoza,mybuilder
CJ Plumbing & Build,,Bathroom Fitter,,,,,402,10,,,,https://www.mybuilder.com/profile/jacques_200,mybuilder
Saine badley,,Bathroom Fitter,,,,,68,8,,,,https://www.mybuilder.com/profile/saine_badley,mybuilder
MASTERWORKS CONSTRUCTION LTD,,Bathroom Fitter,,,,,50,,,,,https://www.mybuilder.com/profile/masterworks_construction_ltd,mybuilder
Fred Martin Plumbing and Heating,,Bathroom Fitter,the industry,,,,471,,,,,https://www.mybuilder.com/profile/fred_martin_plumbing_and_heating,mybuilder
B.R Spectacular Plastering,,Bathroom Fitter,,,,,21,14,,,,https://www.mybuilder.com/profile/br_spectacular_plastering,mybuilder
proper property claims,,Bathroom Fitter,,,,,567,,,,,https://www.mybuilder.com/profile/proper_property_claims,mybuilder
Meto Interiors,,Bathroom Fitter,,,,,190,,,,,https://www.mybuilder.com/profile/metointeriors,mybuilder
Mark,,Bathroom Fitter,,,,,157,10,,,,https://www.mybuilder.com/profile/mark_265,mybuilder
Mg property solutions,,Bathroom Fitter,,,,,34,,,,,https://www.mybuilder.com/profile/mg_property_solutions,mybuilder
Immersion That!,,Bathroom Fitter,,,,,381,,,,,https://www.mybuilder.com/profile/immersion_that,mybuilder
Handyman,,Bathroom Fitter,,,,,74,,,,,https://www.mybuilder.com/profile/kostek_handyman,mybuilder
PDBuilders,,Bathroom Fitter,,,,,32,,,,,https://www.mybuilder.com/profile/pdbuilders_38,mybuilder
JK Building London Ltd,,Bathroom Fitter,,,,,37,,,,,https://www.mybuilder.com/profile/jk_building_london,mybuilder
Plumbminto's Ltd.,,Bathroom Fitter,,,,,330,,,,,https://www.mybuilder.com/profile/plumbminto,mybuilder
MJV Extrem Construction Ltd,,Bathroom Fitter,,,,,3,,,,,https://www.mybuilder.com/profile/mjv_extrem_construction,mybuilder
DR PROGRESSIVE BUILDING LTD,,Bathroom Fitter,,,,,43,,,,,https://www.mybuilder.com/profile/dr_progressive_building_ltd,mybuilder
B&M Construction,,Bathroom Fitter,,,,,15,,,,,https://www.mybuilder.com/profile/bm_construction_30,mybuilder
Abi Building Services,,Bathroom Fitter,,,,,82,,,,,https://www.mybuilder.com/profile/master-florenc,mybuilder
Top Builder & Decorator,,Bathroom Fitter,,,,,170,,,,,https://www.mybuilder.com/profile/tafili,mybuilder
Maintenance Property Service Ltd,,Bathroom Fitter,my experience there are,,,,77,,,,,https://www.mybuilder.com/profile/a_c_painting_decorating,mybuilder
Ionut,,Bathroom Fitter,,,,,48,,,,,https://www.mybuilder.com/profile/ionut03,mybuilder
MARCIN'S CONSTRUCTION LTD,,Bathroom Fitter,,,,,9,,,,,https://www.mybuilder.com/profile/marcin-s-construction-ltd,mybuilder
Rocky’s construction,,Bathroom Fitter,,,,,78,,,,,https://www.mybuilder.com/profile/rockys_construction,mybuilder
Hadley home improvements,,Bathroom Fitter,,,,,10,,,,,https://www.mybuilder.com/profile/hadley_home_improvements,mybuilder
BBSP Bathrooms LTD,,Bathroom Fitter,,,,,14,,,,,https://www.mybuilder.com/profile/bbsp_refurbishment,mybuilder
Danny construction,,Bathroom Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/danny-construction,mybuilder
CLA Heating & Plumbing,,Bathroom Fitter,,,,,150,15,,,,https://www.mybuilder.com/profile/cla_plumbing_and_heating,mybuilder
Plumb4All,,Bathroom Fitter,,,,,20,,,,,https://www.mybuilder.com/profile/cured_plumbing_90,mybuilder
carpenters,,Bathroom Fitter,,,,,39,,,,,https://www.mybuilder.com/profile/carpenters_11,mybuilder
Aquaheat plumbing and heating,,Bathroom Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/aquaheat-plumbing-and-heating,mybuilder
Anson  james,,Bathroom Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/anson-james,mybuilder
Luma mechanical & electricial,,Bathroom Fitter,,,,,4,,,,,https://www.mybuilder.com/profile/luma-mechanical-electricial,mybuilder
Ag-Renovations,,Bathroom Fitter,,,,,6,,,,,https://www.mybuilder.com/profile/mik123,mybuilder
Westcott Elite Builders,,Bathroom Fitter,,,,,184,,,,,https://www.mybuilder.com/profile/multitrade-tiler,mybuilder
