company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
Elite bathrooms & drains ltd,,Kitchen Fitter,,,,,67,,,,,https://www.mybuilder.com/profile/elite_bathrooms_drains_ltd,mybuilder
Liviu mazuru,,Kitchen Fitter,,,,,122,,,,,https://www.mybuilder.com/profile/liviu_mazuru,mybuilder
avstructures,,Kitchen Fitter,,,,,56,,,,,https://www.mybuilder.com/profile/avstructures,mybuilder
Gezim the Carpenter & Joiner,,Kitchen Fitter,,,,,152,,,,,https://www.mybuilder.com/profile/jimy,mybuilder
EB HOME,,Kitchen Fitter,,,,,25,,,,,https://www.mybuilder.com/profile/mahdi_construction,mybuilder
Claudiu,,Kitchen Fitter,,,,,530,,,,,https://www.mybuilder.com/profile/claudiu_17,mybuilder
FP Carpenter & Maintenance Services Limited,,Kitchen Fitter,,,,,278,23,,,,https://www.mybuilder.com/profile/carpenter_and_maintenance_services,mybuilder
Deluxe Building and Maintenance,,Kitchen Fitter,,,,,103,21,,,,https://www.mybuilder.com/profile/deluxe_building_and_maintenance,mybuilder
Full Decoration,,Kitchen Fitter,,,,,104,,,,,https://www.mybuilder.com/profile/danielespinoza,mybuilder
JDS Maintenance,,Kitchen Fitter,,,,,72,,,,,https://www.mybuilder.com/profile/jds_maintenance,mybuilder
Saine badley,,Kitchen Fitter,,,,,68,8,,,,https://www.mybuilder.com/profile/saine_badley,mybuilder
MASTERWORKS CONSTRUCTION LTD,,Kitchen Fitter,,,,,50,,,,,https://www.mybuilder.com/profile/masterworks_construction_ltd,mybuilder
Derian bedoya,,Kitchen Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/derian-bedoya,mybuilder
Westridge Developments Ltd,,Kitchen Fitter,,,,,93,,,,,https://www.mybuilder.com/profile/westridge_developments_ltd,mybuilder
Build It Services,,Kitchen Fitter,East Dulwich,,,,104,20,,,,https://www.mybuilder.com/profile/builditservices,mybuilder
furnis london,,Kitchen Fitter,,,,,585,,,,,https://www.mybuilder.com/profile/furnis_london,mybuilder
High Tech Plumbing,,Kitchen Fitter,,,,,161,,,,,https://www.mybuilder.com/profile/high_tech_plumbing,mybuilder
KG BUILD,,Kitchen Fitter,,,,,9,,,,,https://www.mybuilder.com/profile/kg_build,mybuilder
Pantaliao Building,,Kitchen Fitter,,,,,1,10,,,,https://www.mybuilder.com/profile/pantaliao_building,mybuilder
J R PITT AND SON LTD,,Kitchen Fitter,SW,,,,29,,,,,https://www.mybuilder.com/profile/j_r_pitt_and_son_ltd,mybuilder
Mg property solutions,,Kitchen Fitter,,,,,34,,,,,https://www.mybuilder.com/profile/mg_property_solutions,mybuilder
Handyman,,Kitchen Fitter,,,,,74,,,,,https://www.mybuilder.com/profile/kostek_handyman,mybuilder
James Ryle Woodwork,,Kitchen Fitter,,,,,72,16,,,,https://www.mybuilder.com/profile/james_ryle_woodwork,mybuilder
GF Kitchens & Refurbishment,,Kitchen Fitter,,,,,188,,,,,https://www.mybuilder.com/profile/gf_kitchens_refurbishment,mybuilder
PDBuilders,,Kitchen Fitter,,,,,32,,,,,https://www.mybuilder.com/profile/pdbuilders_38,mybuilder
JK Building London Ltd,,Kitchen Fitter,,,,,37,,,,,https://www.mybuilder.com/profile/jk_building_london,mybuilder
MJV Extrem Construction Ltd,,Kitchen Fitter,,,,,3,,,,,https://www.mybuilder.com/profile/mjv_extrem_construction,mybuilder
Builders in Sutton,,Kitchen Fitter,,,,,260,,,,,https://www.mybuilder.com/profile/kowalski,mybuilder
DR PROGRESSIVE BUILDING LTD,,Kitchen Fitter,,,,,43,,,,,https://www.mybuilder.com/profile/dr_progressive_building_ltd,mybuilder
G & SON PLUMBING,,Kitchen Fitter,,,,,38,,,,,https://www.mybuilder.com/profile/gary141,mybuilder
TWO BROTHERS CONSTRUCTION LTD,,Kitchen Fitter,,,,,12,,,,,https://www.mybuilder.com/profile/two_brothers_construction,mybuilder
Alexander james electrical services,,Kitchen Fitter,,,,,11,,,,,https://www.mybuilder.com/profile/alexander_james_electrical_services,mybuilder
Maintenance.Ro Ltd,,Kitchen Fitter,,,,,19,10,,,,https://www.mybuilder.com/profile/maintenancero_ltd,mybuilder
Glen Mckree,,Kitchen Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/glen-mckree,mybuilder
SecureH omeContractors,,Kitchen Fitter,,,,,3,,,,,https://www.mybuilder.com/profile/secureh-omecontractors,mybuilder
Red Moon Build Interior,,Kitchen Fitter,,,,,,,,,,https://www.mybuilder.com/profile/red-moon-build-interior,mybuilder
Don Buildings Ltd,,Kitchen Fitter,,,,,76,,,,,https://www.mybuilder.com/profile/doncarpentryltd,mybuilder
J Harper  carpentry & joinery,,Kitchen Fitter,,,,,25,,,,,https://www.mybuilder.com/profile/j_harper_carpentry_joinery,mybuilder
ed heaton,,Kitchen Fitter,,,,,553,,,,,https://www.mybuilder.com/profile/ed_heaton,mybuilder
Frontline Construction Contractors Ltd,,Kitchen Fitter,Bromley,,,,26,,,,,https://www.mybuilder.com/profile/frontline_construction,mybuilder
Belmont Professional Services,,Kitchen Fitter,,,,,25,,,,,https://www.mybuilder.com/profile/belmont_professional_services,mybuilder
Dani Style Ltd,,Kitchen Fitter,,,,,20,,,,,https://www.mybuilder.com/profile/d_s_furniture,mybuilder
RAF pluming heating,,Kitchen Fitter,"London, covering South East",,,,9,,,,,https://www.mybuilder.com/profile/raf_pluming_heating,mybuilder
Luke Obee T/A Carpentry Contractors,,Kitchen Fitter,,,,,2,,,,,https://www.mybuilder.com/profile/obee_carpentry,mybuilder
Find My Project LTD,,Kitchen Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/find_my_project,mybuilder
Thima Green Ltd,,Kitchen Fitter,Bromley,,,,65,,,,,https://www.mybuilder.com/profile/curko,mybuilder
Taigis Construction Services Limited,,Kitchen Fitter,Bromley,,,,8,,,,,https://www.mybuilder.com/profile/taigis_construction,mybuilder
Bek Renovations LTD,,Kitchen Fitter,,,,,1,,,,,https://www.mybuilder.com/profile/bek_renovations_ltd,mybuilder
Absoluto Building Services,,Kitchen Fitter,,,,,26,,,,,https://www.mybuilder.com/profile/kevin-scott,mybuilder
Builds Magic LTD,,Kitchen Fitter,,,,,2,,,,,https://www.mybuilder.com/profile/builds_magic,mybuilder
