company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
London Elite Roofing,,Roofer,,,,,1,15,,,,https://www.mybuilder.com/profile/london_elite_roofing,mybuilder
City Building & Design,,Roofer,central,,,,29,,,,,https://www.mybuilder.com/profile/city_building_design_ltd,mybuilder
UnitedFront Roofing,,Roofer,,,,,2,,,,,https://www.mybuilder.com/profile/unitedfront-roofing,mybuilder
Alexis Vedere,,Roofer,,,,,13,20,,,,https://www.mybuilder.com/profile/alexis-vedere,mybuilder
ritz builders uk ltd,,Roofer,,,,,5,,,,,https://www.mybuilder.com/profile/ritz_builders_uk_ltd,mybuilder
Vintage Building Services,,Roofer,,,,,185,,,,,https://www.mybuilder.com/profile/vintagebuilding,mybuilder
reworks london,,Roofer,,,,,53,,,,,https://www.mybuilder.com/profile/reworks-london,mybuilder
W.A. Brown Builders LTD,,Roofer,,,,,52,,,,,https://www.mybuilder.com/profile/w-a-brown-builders-ltd,mybuilder
NEO SPACES LIMITED,,Roofer,"London, Neospaces is",,,,54,,,,,https://www.mybuilder.com/profile/neospaces,mybuilder
Antal karoly,,Roofer,,,,,11,,,,,https://www.mybuilder.com/profile/antal_karoly,mybuilder
LEBELLE HERITAGE & RESTORATION LTD,,Roofer,,,,,1,,,,,https://www.mybuilder.com/profile/lebelle-heritage-restoration-ltd,mybuilder
Amritpal singh,,Roofer,,,,,8,,,,,https://www.mybuilder.com/profile/amritpal-singh-1,mybuilder
N EXTENSION KINGS LTD,,Roofer,,,,,3,,,,,https://www.mybuilder.com/profile/n_extension_kings_ltd,mybuilder
fedora and sons,,Roofer,,,,,12,,,,,https://www.mybuilder.com/profile/fedora_and_sons,mybuilder
Perspective Roofing Ltd.,,Roofer,,,,,4,,,,,https://www.mybuilder.com/profile/perspective_roofing,mybuilder
JB Roofing Solutions LTD,,Roofer,,,,,4,,,,,https://www.mybuilder.com/profile/johnyboy_oreilly,mybuilder
C & C Property Maintenance,,Roofer,,,,,116,,,,,https://www.mybuilder.com/profile/c_c_property_maintenance,mybuilder
Nyxg Ltd,,Roofer,,,,,8,,,,,https://www.mybuilder.com/profile/fabulous_finish_nyxg_ltd,mybuilder
Master Builders Developments Ltd,,Roofer,,,,,9,,,,,https://www.mybuilder.com/profile/master_builders_developments_ltd,mybuilder
Leakfree roofers ltd,,Roofer,,,,,1,,,,,https://www.mybuilder.com/profile/leakfree-roofers-ltd,mybuilder
Fix It Quick,,Roofer,,,,,33,,,,,https://www.mybuilder.com/profile/fixitquick,mybuilder
Excellent Building and Roofing Services Ltd,,Roofer,,,,,42,,,,,https://www.mybuilder.com/profile/oc_roofing,mybuilder
LONDON CITY ROOFING AND RENOVATIONS LTD,,Roofer,,,,,1,,,,,https://www.mybuilder.com/profile/london_city_roofing_and_renovations_ltd,mybuilder
TPR Builders,,Roofer,"my local
area",,,,7,,,,,https://www.mybuilder.com/profile/tpr_builders_ltd,mybuilder
carpentry service,,Roofer,,,,,315,,,,,https://www.mybuilder.com/profile/chrisfantstic,mybuilder
T Dardeshi,,Roofer,central London in project,,,,7,,,,,https://www.mybuilder.com/profile/tdardeshi,mybuilder
Ecoalex,,Roofer,,,,,4,,,,,https://www.mybuilder.com/profile/building_greener,mybuilder
