company_name,owner_name,trade_type,location,website_url,overall_rating,feedback_pct,review_count,years_experience,phone,verification_status,services,profile_url,source_platform
"Kelly Electrics, Female Electricians Ltd",,Electrician,,,,,341,,,,,https://www.mybuilder.com/profile/lil_kel02,mybuilder
CRW Electrical Solutions Ltd,,Electrician,,,,,281,,,,,https://www.mybuilder.com/profile/crw-electrical-solutions-ltd,mybuilder
Mr banah,,Electrician,,,,,414,,,,,https://www.mybuilder.com/profile/mr_banah,mybuilder
W.A.N Engineering Ltd,,Electrician,,,,,208,,,,,https://www.mybuilder.com/profile/wan_engineering_ltd,mybuilder
Kris Electrical Services,,Electrician,,,,,261,,,,,https://www.mybuilder.com/profile/kris21,mybuilder
MASTERWORKS CONSTRUCTION LTD,,Electrician,,,,,50,,,,,https://www.mybuilder.com/profile/masterworks_construction_ltd,mybuilder
Joey Electrical,,Electrician,,,,,177,,,,,https://www.mybuilder.com/profile/joeyelectrical,mybuilder
Connected City Limited,,Electrician,South London,,,,5,,,,,https://www.mybuilder.com/profile/rvfelectrical,mybuilder
One Spark Electrics,,Electrician,,,,,3,,,,,https://www.mybuilder.com/profile/one-spark-electrics,mybuilder
Sowe's Electrical Engineering Services Ltd,,Electrician,,,,,356,,,,,https://www.mybuilder.com/profile/sees,mybuilder
Arnold Construction Electrical Services,,Electrician,,,,,140,46,,,,https://www.mybuilder.com/profile/arnold_construction_electrical_services,mybuilder
fillyphe allan teodoro,,Electrician,,,,,5188,,,,,https://www.mybuilder.com/profile/fillyphe_allan_teodoro,mybuilder
pauljones999,,Electrician,,,,,5339,,,,,https://www.mybuilder.com/profile/pauljones999,mybuilder
blue rose electrics,,Electrician,,,,,526,,,,,https://www.mybuilder.com/profile/blue-rose-electrics,mybuilder
Bower Power Electrical,,Electrician,,,,,72,15,,,,https://www.mybuilder.com/profile/bower_power_electrical,mybuilder
LIGHTS ON ELECTRICAL SERVICES LTD,,Electrician,,,,,33,,,,,https://www.mybuilder.com/profile/lights-on-electrical-services-ltd,mybuilder
