company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,phone,verification_status,services,coverage_area,profile_url,source_platform
Mulaverse Ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/mulaverse-ltd/ykkVR/,bark
JG Swan Housing,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/jg-swan-housing/M72yg/,bark
Deva Building Contractors ltd,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/deva-building-contractors-ltd/RjXAv/,bark
Readygoengineers,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/readygoengineers/nmz9L/,bark
SBPH,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/sbph/4lglb/,bark
S4Brothers Ltd,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/s4brothers-ltd/qm4G8/,bark
Inspirational interiors,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/inspirational-interiors/3jNKn/,bark
SOUTH WEST LONDON DESIGN&BUILD LIMITED,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/south-west-london-designampbuild-limited/MgBvg/,bark
Pinnacle Renovation Projects Limited,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/pinnacle-renovation-projects-limited/kgNRO/,bark
Linear London,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/linear-london/p3zE0/,bark
PRISTINE PROPERTY SOLUTIONS,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/pristine-property-solutions/VZ9nX/,bark
P and R Plumbing,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/p-and-r-plumbing/kqpez/,bark
AC Property Services,,Bathroom Fitter,,,,,,,,,https://www.bark.com/en/gb/company/ac-property-services/bwybE/,bark
@call the plumber,,Bathroom Fitter,,,5,,,,,,https://www.bark.com/en/gb/company/call-the-plumber/Jvd1m/,bark
