company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Mario Furniture Ltd","Mr Mario","Bedrooms","and much","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.73,9.6,10,9.6,74,6,"220993117",Yes,Yes,Yes,"https://www.checkatrade.com/trades/mariofurnitureltd",mariofurnitureltd
"Homely Wardrobes","Mr Adrian","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.76,9.91,9.73,9.64,75,4,"",Yes,No,Yes,"https://www.checkatrade.com/trades/homelywardrobes",homelywardrobes
"Relm Bespoke Ltd","Mrs Emma","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",8.63,8.63,8.63,8.63,54,4,"407595086",Yes,Yes,Yes,"https://www.checkatrade.com/trades/relmbespoke",relmbespoke
"My Fitted Bedroom","Barry Rouke","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.96,9.94,10,9.94,146,5,"254522809",Yes,Yes,Yes,"https://www.checkatrade.com/trades/myfittedbedroommanchester",myfittedbedroommanchester
"Furnis London Ltd","Mr. Tiberiu Chirita","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.75,9.75,9.75,9.75,32,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/furnislondonltd",furnislondonltd
"Bear Bro Furniture Ltd","Mr Ion","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.67,9.67,9.67,9.67,79,7,"284390873",Yes,Yes,Yes,"https://www.checkatrade.com/trades/bearbrocarpentry",bearbrocarpentry
"A2Z kitchen and bedrooms Ltd","Mr Kuldip","Bedrooms","London","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.64,9.92,9.46,9.54,30,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/a2zkitchenandbedroomsltd",a2zkitchenandbedroomsltd
"Endego LTD","Mr Tautvydas","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,12,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/endegoltd860521",endegoltd860521
"Uk Furniture & Upholstery Maker Ltd","Mr Rohit","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",8.9,9.2,9.4,8.1,32,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ukfurnitureandupholsterymaker",ukfurnitureandupholsterymaker
"Nain Kitchens And Bedrooms Ltd","Mr Pradeep","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,7,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/nainkitchensandbedroomsltd",nainkitchensandbedroomsltd
"Edge Carpentry & Joinery","Mr Sean","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,76,8,"374362780",Yes,Yes,Yes,"https://www.checkatrade.com/trades/edgecarpentryandjoinery",edgecarpentryandjoinery
"HS Bespoke Carpentry & Joinery Limited","Mr. Dan Steele","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,149,9,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/handscarpentryandbuilding",handscarpentryandbuilding
"TB Carpentry & Joinery Services","Mr Terry","Bedrooms","all aspects","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.79,9.85,9.69,9.85,291,13,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/tbcarpentryandjoineryservices",tbcarpentryandjoineryservices
"Aman kitchen and bedroom ltd","Mr Amardeep","Bedrooms","Dagenham and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",8,8,7,9,1,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/amankitchenandbedroomltd",amankitchenandbedroomltd
"LJS Designs","Mr Lawrence","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,67,8,"819227716",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ljsdesigns",ljsdesigns
"Right Price Fitted Bedrooms","Mr Stephen","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,125,7,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/rightpricefittedbedrooms",rightpricefittedbedrooms
"AM Builder London","Mr Alireza","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.88,9.79,9.93,9.93,25,2,"",No,Yes,Yes,"https://www.checkatrade.com/trades/ambuilderlondon",ambuilderlondon
"Ernest Stanley Limited","Mr. Michael Copp","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,33,5,"",Yes,No,Yes,"https://www.checkatrade.com/trades/erneststanleylimited",erneststanleylimited
"Sky Kitchens & Bedrooms Limited","Mr Inderjeet","Bedrooms","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",8.67,8,8,10,52,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/skykitchensandbedrooms",skykitchensandbedrooms
"Kostaa Limited","Mr Kunal","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.9,9.71,10,10,35,3,"463051318",Yes,Yes,Yes,"https://www.checkatrade.com/trades/kostaalimited",kostaalimited
"Astute Joiners","Mr Ebrahim","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",10,10,10,10,55,6,"",No,No,Yes,"https://www.checkatrade.com/trades/astutejoiners",astutejoiners
"Sino bedrooms","Mr. Erion Sino","Bedrooms","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=332ac8e5-14a2-4e2c-8c21-6fecc6f748fd&cat_web_session_id=1c6adad0-d982-4ffd-aa65-95eef09861e2&banner_location=header",9.87,9.78,10,9.83,147,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/sino972173",sino972173
