company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"KBS Scaffolding Limited","Mr Billy","Scaffolder","Bromley","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",9.86,9.82,9.89,9.87,83,2,"467455359",Yes,Yes,Yes,"https://www.checkatrade.com/trades/kbsscaffoldinglimited",kbsscaffoldinglimited
"Penn Scaffolding Ltd","Mr Jason","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,12,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/pennscaffoldingltd",pennscaffoldingltd
"TIER PRO SCAFFOLDING LTD","Mr John","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,5,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/tierproscaffoldingltd",tierproscaffoldingltd
"Maddison Scaffolding Services Ltd","Peter Rybinski","Scaffolder","Epsom and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,15,3,"416777665",Yes,Yes,Yes,"https://www.checkatrade.com/trades/maddisonscaffoldingservicesltd1088683",maddisonscaffoldingservicesltd1088683
"Five Oaks Access Ltd","Mr Terry","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,20,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/fiveoaksaccessltd",fiveoaksaccessltd
"Catamount Scaffolding Ltd","Mr Neil","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",9.97,10,10,9.91,56,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/catamountscaffolding1055609",catamountscaffolding1055609
"PEARL SCAFFOLDING LTD","Mr Lee","Scaffolder","everything from","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",9.93,9.89,9.89,10,9,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/pearlscaffoldingltd",pearlscaffoldingltd
"Jon&sam Scaffolding Ltd","Mr Erjon","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,40,3,"",Yes,No,Yes,"https://www.checkatrade.com/trades/jonandsamscaffoldingltd",jonandsamscaffoldingltd
"RB Access Scaffolding Limited","Mr Ronnie","Scaffolder","Posted","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,42,4,"",Yes,No,Yes,"https://www.checkatrade.com/trades/rbaccessscaffolding",rbaccessscaffolding
"MJS Scaffolding (Surrey) Ltd","Mr Michael","Scaffolder","Oxted Surrey","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,44,8,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/mjsscaffoldingservices",mjsscaffoldingservices
"ALPHA SCAFFOLDING LIMITED","Mrs. Louise Burt","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",9.97,,,,14,5,"",Yes,No,Yes,"https://www.checkatrade.com/trades/alphascaffoldinglimited883084",alphascaffoldinglimited883084
"CNK Scaffolding Ltd","Mr Craig","Scaffolder","all of","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",9.89,10,10,9.67,13,2,"484591158",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cnkscaffoldingltd",cnkscaffoldingltd
"E.D. Scaffolding Ltd","Ltd Company","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",10,10,10,10,27,6,"353311236",Yes,Yes,Yes,"https://www.checkatrade.com/trades/edscaffolding",edscaffolding
"MKR Scaffolding","Miss Karolina","Scaffolder","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=fc2c2e4b-f142-4392-99a1-74c87a6cac5e&cat_web_session_id=1ef868b9-e9bb-409f-b62f-436aa948adf0&banner_location=header",,,,,17,3,"440273914",Yes,Yes,Yes,"https://www.checkatrade.com/trades/mkrscaffolding",mkrscaffolding
