company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"QF Plastering","Mr Qani","Plasterer","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,4,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/qfplastering",qfplastering
"Klass Finish","Mr James","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.85,9.82,9.82,9.91,23,1,"",No,No,Yes,"https://www.checkatrade.com/trades/klassfinish",klassfinish
"ES Plastering","Mr Erjon","Plasterer","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.93,10,10,9.8,10,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/esplastering5927477",esplastering5927477
"Cepa Drylining Limited","Mr Armir","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.93,9.89,9.89,10,42,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cepadrylininglimited",cepadrylininglimited
"LWM Plastering Ltd","Mr Luke","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.56,9.5,9.58,9.58,720,11,"294547071",Yes,Yes,Yes,"https://www.checkatrade.com/trades/lwmplasteringltd",lwmplasteringltd
"C Daye Plastering & Building Services","Mr Courtney","Plasterer","South London","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.9,9.9,9.94,9.87,218,9,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/cdayeplasteringandbuildingservices",cdayeplasteringandbuildingservices
"Parsons Green Plastering","Mr Aaron","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,16,2,"",No,Yes,Yes,"https://www.checkatrade.com/trades/parsonsgreenplastering1106272",parsonsgreenplastering1106272
"Memo Plastering Ltd","Mr Memo","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,,,,6,2,"",Yes,No,Yes,"https://www.checkatrade.com/trades/memoplasteringltd",memoplasteringltd
"Judge Plastering Contractors (JPC)","Sole Trader","Plasterer","examples of","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.62,9.91,9.91,9.91,242,13,"",No,Yes,Yes,"https://www.checkatrade.com/trades/judgeplasteringcontractors",judgeplasteringcontractors
"Goody Screeding","Mr Phillip","Plasterer","Twickenham in","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,67,10,"294224202",Yes,Yes,Yes,"https://www.checkatrade.com/trades/goodyscreeding",goodyscreeding
"TrueLine Plastering & Painting","Mr Ibrahim","Plasterer","Edgware and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.87,9.87,9.87,9.87,15,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/truelineplasteringpainting",truelineplasteringpainting
"Tafa General Construction Ltd","Mr Dritan","Plasterer","Enfield and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,4,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/tafageneralconstructionltd",tafageneralconstructionltd
"Ak Decor Ltd","Mr. Asllan Kaci","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.62,9.71,9.43,9.71,44,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/akdecor1055292",akdecor1055292
"Surrey Plastering Services Ltd","Mr Shane","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,321,8,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/surreyplasteringservicesltd",surreyplasteringservicesltd
"Absolutely Plastered","Mr Carl","Plasterer","Croydon","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,71,10,"",No,Yes,Yes,"https://www.checkatrade.com/trades/absolutelyplastered404339",absolutelyplastered404339
"Miri Plastering","Mr Charalampos","Plasterer","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.93,10,10,9.8,5,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/miriplastering",miriplastering
"SilverBlade","Mr Harold","Plasterer","all rendering","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",5.83,6,6,5.5,5,1,"",No,No,Yes,"https://www.checkatrade.com/trades/silverblade",silverblade
"DAVID CAPITA LIMITED","Mr Mihai","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.5,9.5,9.5,9.5,57,,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/davidcapitaltd",davidcapitaltd
"CT2 Plastering and Rendering","Mr Christopher","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,105,1,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ct2plasteringandrendering",ct2plasteringandrendering
"A.M Plastering","Mr Andy","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.82,9.88,9.71,9.88,193,7,"",No,Yes,Yes,"https://www.checkatrade.com/trades/amplasteringgillingham",amplasteringgillingham
"GQ Plasterers","Mr Jean","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,158,8,"",No,Yes,Yes,"https://www.checkatrade.com/trades/gqplasterers",gqplasterers
"Olti plastering","Mr Oltjon","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.83,9.71,9.83,9.96,24,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/oltiplastering",oltiplastering
"PMC Plastering Ltd","Mr Petru","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.87,9.8,9.8,10,75,6,"244272909",Yes,Yes,Yes,"https://www.checkatrade.com/trades/pmcplasteringltd",pmcplasteringltd
"EK Plastering","Mr Eric","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.75,9.5,9.9,9.85,87,4,"",No,Yes,Yes,"https://www.checkatrade.com/trades/ekplastering",ekplastering
"Gees Building & Plastering Services","Mr Lincoln","Plasterer","South East","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.83,9.5,10,10,156,8,"",No,Yes,Yes,"https://www.checkatrade.com/trades/geesbuildingandplasteringservices",geesbuildingandplasteringservices
"B@Plastering Construction Building","Mr Naim","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,3,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/bplasteringconstructionbuilding",bplasteringconstructionbuilding
"Prestige Plasterers Ltd","Mr Ricky","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.93,9.89,10,9.89,80,7,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/prestigeplasterersltd",prestigeplasterersltd
"ENC Building","Mr Cristi","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.69,9.5,9.78,9.78,18,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/encbuilding",encbuilding
"Signature Plastering","Mr Ryan","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.97,9.96,9.96,10,88,7,"",No,Yes,Yes,"https://www.checkatrade.com/trades/signatureplastering",signatureplastering
"Smooth Touch Plastering","Mr Aaron","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,327,8,"",No,Yes,Yes,"https://www.checkatrade.com/trades/smoothtouchplastering",smoothtouchplastering
"L&L Plastering","Mr Lancelot","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.62,9.57,9.71,9.57,64,4,"",No,No,Yes,"https://www.checkatrade.com/trades/landlplastering",landlplastering
"O&K 11 Limited","Mr. Klodjan Ducka","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.88,9.91,9.87,9.87,116,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/oandk11limited989544",oandk11limited989544
"D H Plastering","Mr Danny","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.87,9.6,10,10,21,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/dhplastering1106746",dhplastering1106746
"Russell Smith","Mr Russell","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.97,9.91,10,10,201,8,"",No,Yes,Yes,"https://www.checkatrade.com/trades/russellsmith",russellsmith
"Liberty Building Systems Limited","Mr Andrew","Plasterer","Sidcup with","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,127,11,"408477969",Yes,Yes,Yes,"https://www.checkatrade.com/trades/libertybuildingsystemslimited",libertybuildingsystemslimited
"CNL Plastering","Mr Cranston","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,99,7,"",No,Yes,Yes,"https://www.checkatrade.com/trades/cnlplastering",cnlplastering
"Gem Plastering Ltd","Mr Atabak","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,26,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/gemplasteringltd",gemplasteringltd
"Elms Contractor Limited","Mr Martin","Plasterer","Kent","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.74,9.74,9.94,9.87,134,2,"357421105",Yes,Yes,Yes,"https://www.checkatrade.com/trades/elmscontractorlimited1124006",elmscontractorlimited1124006
"Kayo Rendering & Plastering","Mr Marjol","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.71,9.75,9.5,9.88,8,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/kayorenderingplastering",kayorenderingplastering
"Tops Plastering","Mr. Toptan Bruka","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,36,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/topsplastering",topsplastering
"RM Plastering Services","Mr. Ryan Morgan","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.94,9.96,9.91,9.94,218,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/rmplasteringservices",rmplasteringservices
"ovgconstruction","Mr Ognyan","Plasterer","London and","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.83,9.75,10,9.75,4,1,"",No,No,Yes,"https://www.checkatrade.com/trades/ovgconstruction5925196",ovgconstruction5925196
"BOT Rendering","Mr Valter","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,15,2,"438170201",No,Yes,Yes,"https://www.checkatrade.com/trades/botrendering",botrendering
"Pristine Plastering","Mr Chris","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.95,10,9.92,9.92,166,7,"",No,Yes,Yes,"https://www.checkatrade.com/trades/pristineplastering591229",pristineplastering591229
"BALI K Construction","Mr. Elton Kraja","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.89,9.86,9.9,9.9,109,5,"",No,Yes,Yes,"https://www.checkatrade.com/trades/balikconstruction",balikconstruction
"Skim King Plastering","Mr Bradley","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,30,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/skimkingplastering",skimkingplastering
"Dakoli","Mr. Kujtim Dakoli","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,59,5,"",Yes,No,Yes,"https://www.checkatrade.com/trades/dakoli",dakoli
"AJM Plastering","Mr Ashley","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,50,9,"",No,Yes,Yes,"https://www.checkatrade.com/trades/ajmplastering",ajmplastering
"KTR Plastering Services","Mr Kurt","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,96,7,"",No,Yes,Yes,"https://www.checkatrade.com/trades/ktrplasteringservices",ktrplasteringservices
"N&P Plastering","Mr Nikolin","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,12,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/nandpplastering875353",nandpplastering875353
"High Standard Plastering","Mr Michael","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,183,10,"",No,Yes,Yes,"https://www.checkatrade.com/trades/highstandardsplastering",highstandardsplastering
"DCB Plastering Services","Mr Derek","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.93,9.89,9.94,9.94,195,7,"377924350",Yes,Yes,Yes,"https://www.checkatrade.com/trades/dcbplasteringservices",dcbplasteringservices
"Gremmo SR Construction Services","Mr Salih","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",9.75,9.75,9.75,9.75,25,2,"",No,No,Yes,"https://www.checkatrade.com/trades/gremmosrconstructionservices",gremmosrconstructionservices
"GRM Plastering","Mr Guy","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",10,10,10,10,86,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/grmplastering1087049",grmplastering1087049
"Luay Construction Group","Mr Luay","Plasterer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8ffdba5c-0e69-430d-b45b-db30ab6ceaa5&cat_web_session_id=fb273d3a-2071-48d1-bb91-c9a4761c4d68&banner_location=header",8.37,8.45,8.15,8.5,20,1,"",Yes,No,Yes,"https://www.checkatrade.com/trades/luayconstructiongroup",luayconstructiongroup
