company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Ashton's Marble Restoration Ltd","Mr. Nicolae Corjuc","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,22,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ashtonsmarblerestoration",ashtonsmarblerestoration
"R P Restoration","Mr Robert","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,29,6,"",No,No,Yes,"https://www.checkatrade.com/trades/robertpaul",robertpaul
"L P Restoration","Mr. Lewis Pannu","Stonemason","projects across","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9.94,10,9.83,10,33,5,"",Yes,No,Yes,"https://www.checkatrade.com/trades/lprestorationltd",lprestorationltd
"Paulin Stonemasons Limited","Mr. Paulin Prendi","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9.76,10,9.57,9.71,122,6,"",Yes,No,Yes,"https://www.checkatrade.com/trades/paulinstonemasonslimited934123",paulinstonemasonslimited934123
"Ace Stone Workers Ltd","Mr Alexei","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,,,,8,4,"",Yes,No,Yes,"https://www.checkatrade.com/trades/acestoneworkers",acestoneworkers
"Pro-Dry Ltd","Mr Stephen","Stonemason","its value","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9.39,,,,15,9,"251503930",Yes,Yes,Yes,"https://www.checkatrade.com/trades/prodryltd",prodryltd
"Arch Masonry Ltd","Mr. Marcin Pogorzelski","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9,9,9,9,17,5,"396644839",Yes,Yes,Yes,"https://www.checkatrade.com/trades/archmasonry1023948",archmasonry1023948
"Wellsway Building Company LTD","Mr Louis","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,9,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/wellswaybuildingcompanyltd",wellswaybuildingcompanyltd
"Avon Stone Contractors Ltd","Mr Jerome","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9.89,10,10,9.67,21,3,"",Yes,No,Yes,"https://www.checkatrade.com/trades/avonstonecontractors",avonstonecontractors
"Thomas Stonemasonry","Mr Charlie","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,1,,"",Yes,No,Yes,"https://www.checkatrade.com/trades/thomasstonemasonry",thomasstonemasonry
"Andy Griffin Stonemasonry","Mr Andrew","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,16,8,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/griffinstonemasonry",griffinstonemasonry
"RG Property Restoration Services Ltd","Mr Ritchie","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,87,7,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/rgpropertyrestorationservicesltd",rgpropertyrestorationservicesltd
"Xlii Masonrybyfourtwo","Mr Ryan","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9.85,9.88,9.88,9.81,40,5,"",No,Yes,Yes,"https://www.checkatrade.com/trades/xliimasonrybyfourtwo938539",xliimasonrybyfourtwo938539
"AllStone SW","Mr Timothy","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",9.22,9.33,9.67,8.67,18,7,"183588367",Yes,Yes,Yes,"https://www.checkatrade.com/trades/allstonesw",allstonesw
"AH Stonewalling","Mr Andrew","Stonemason","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=35ed5849-6824-4264-8934-3e068ba304f6&cat_web_session_id=623fa657-82b8-49c3-8c62-389b48bb8a81&banner_location=header",10,10,10,10,11,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ahstonewalling",ahstonewalling
