company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Bevan Groundwork","Mr Joshua","Groundworks","Essex","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=4965dc77-7434-41f1-b934-584c293d08d3&cat_web_session_id=04af5066-39a1-496f-804f-c3c53f6c3a05&banner_location=header",9.42,9.5,9.38,9.38,29,4,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/bevangroundwork",bevangroundwork
"G&M Groundworks LTD","Mr. Genci Manallari","Groundworks","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=4965dc77-7434-41f1-b934-584c293d08d3&cat_web_session_id=04af5066-39a1-496f-804f-c3c53f6c3a05&banner_location=header",8.22,8.33,8,8.33,16,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/gandmgroundworksltd",gandmgroundworksltd
"Andi Contractor Ltd","Mr Andi","Groundworks","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=4965dc77-7434-41f1-b934-584c293d08d3&cat_web_session_id=04af5066-39a1-496f-804f-c3c53f6c3a05&banner_location=header",9.88,10,9.88,9.75,43,4,"394387841",Yes,Yes,Yes,"https://www.checkatrade.com/trades/andicontractorsltd",andicontractorsltd
"BLACK EAGLE CONSTRUCTION LTD","Mr Lulzim","Groundworks","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=4965dc77-7434-41f1-b934-584c293d08d3&cat_web_session_id=04af5066-39a1-496f-804f-c3c53f6c3a05&banner_location=header",0,,,,14,3,"414647890",Yes,Yes,Yes,"https://www.checkatrade.com/trades/blackeagleconstructionltd",blackeagleconstructionltd
"Dulwich Diggers","","Groundworks","","",,,,,,,"",No,No,No,"https://www.checkatrade.com/trades/dulwichdiggers",dulwichdiggers
"Patrick's Landscaping","","Groundworks","","",,,,,,,"",No,No,No,"https://www.checkatrade.com/trades/patrickslandscaping",patrickslandscaping
"Rocks Plant And Construction Srvices Ltd","","Groundworks","","",,,,,,,"",No,No,No,"https://www.checkatrade.com/trades/rocksplantandconstructionsrvicesltd",rocksplantandconstructionsrvicesltd
"BVMH Groundworks Ltd","","Groundworks","","",,,,,,,"",No,No,No,"https://www.checkatrade.com/trades/bvmhgroundworksltd",bvmhgroundworksltd
"M&A Steel Fixing Limited","","Groundworks","","",,,,,,,"",No,No,No,"https://www.checkatrade.com/trades/mandasteelfixing",mandasteelfixing
"J Davies Building Ltd","","Groundworks","","",,,,,,,"",No,No,No,"https://www.checkatrade.com/trades/jdaviesbuilding",jdaviesbuilding
