company_name,owner_name,trade_type,location,website_url,overall_rating,quality_rating,reliability_rating,communication_rating,review_count,years_on_checkatrade,vat_number,is_ltd,free_estimates,emergency_callout,profile_url,handle
"Ashmark Roofing & General Builders Ltd","Mr William","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.97,10,10,9.9,69,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/ashmarkroofinggeneralbuildersltd",ashmarkroofinggeneralbuildersltd
"Kinson & Birch Ltd","Mr Jimmy","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.52,9.55,9.55,9.45,714,11,"251828500",Yes,No,Yes,"https://www.checkatrade.com/trades/kinsonandbirchltd",kinsonandbirchltd
"Thistle Roofing Services","Mr Darren","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.89,9.95,9.95,9.79,54,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/thistleroofingservices1099533",thistleroofingservices1099533
"Crow Roofing Ltd","Mr Joe","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",10,10,10,10,167,11,"362201342",Yes,Yes,Yes,"https://www.checkatrade.com/trades/crowroofing",crowroofing
"TC Roofing","Mr. Anthony Clarke","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.89,9.84,9.88,9.96,141,5,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/tcroofing1007448",tcroofing1007448
"Toproofers Ltd","Mr Marius","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.88,9.86,9.93,9.86,89,3,"350925012",Yes,Yes,Yes,"https://www.checkatrade.com/trades/toproofers",toproofers
"ATLAS HOME IMPROVEMENTS LIMITED","Mr. Mark Nugent","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.88,9.91,9.86,9.86,67,6,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/atlashomeimprovementslimited934713",atlashomeimprovementslimited934713
"Broadoak Home Improvements Ltd","Mr. John Carey","Roofer","you","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",10,10,10,10,54,3,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/broadoakhomeimprovementsltd",broadoakhomeimprovementsltd
"Roofcare of London","Ms Jemma","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",9.79,9.91,9.82,9.64,11,1,"",No,Yes,Yes,"https://www.checkatrade.com/trades/roofcareoflondon5932305",roofcareoflondon5932305
"Archrise Roofing","Mr Servet","Roofer","","https://9tuma.app.link/kLTh3RAdIQb?cat_web_device_id=8bf5cfc9-5956-49fe-b2be-b90cfe44ba76&cat_web_session_id=3859de8d-e5fa-4e0e-b804-42680812fa0c&banner_location=header",10,10,10,10,76,2,"",Yes,Yes,Yes,"https://www.checkatrade.com/trades/archriseroofing1121325",archriseroofing1121325
