company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
M&J Gardens,,Garden Maintenance,"London, Peckham, Camberwell, Dulwich and all surrounding areas",https://mjgardens0.wixsite.com/mjgardens,4.97,21,,07307 208683,"vetted; Verified; verified; Insurance
Verified",,"London, Peckham, Camberwell, Dulwich and all surrounding areas",https://www.trustatrader.com/traders/m-j-gardens-garden-maintenance-se15-and-se22,trustatrader
Sameday Gardening Services Ltd,,Garden Maintenance,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://samedaygardeningservices.co.uk/,5.0,15,,07455 743805,"vetted; Verified; verified; Insurance
Verified",,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://www.trustatrader.com/traders/sameday-gardening-services-ltd-garden-maintenance-br3-se20-and-se26,trustatrader
Gardeninc Ltd,,Garden Maintenance,"London, Surrey and surrounding areas",https://gardeninc.co.uk/,5.0,7,,07492 884086,"vetted; Verified; verified; Insurance
Verified",,"London, Surrey and surrounding areas",https://www.trustatrader.com/traders/gardeninc-ltd-garden-maintenance-w8-w11-and-w14,trustatrader
Main Garden Care Ltd,,Garden Maintenance,"Barnet, Brent, Camden, Ealing, Enfield, Haringey, Harrow, Islington and all surrounding areas wi",http://www.maingardencare.co.uk/,4.92,67,,07360 277101,vetted; Verified; verified,,"Barnet, Brent, Camden, Ealing, Enfield, Haringey, Harrow, Islington and all surrounding areas wi",https://www.trustatrader.com/traders/main-garden-care-ltd-garden-maintenance-barnet,trustatrader
Eva's Garden,,Garden Maintenance,Surrey and Surrounding Areas,https://www.trustagarage.com/,4.96,114,,07307 207177,vetted; Verified; verified,,Surrey and Surrounding Areas,https://www.trustatrader.com/traders/evas-garden-garden-maintenance-molesey-and-long-ditton,trustatrader
Clean All Crew Ltd,,Garden Maintenance,"North, North West, and West London",https://www.cleanallcrew.info/,5.0,125,,07307 292543,"vetted; Verified; verified; Insurance
Verified",,"North, North West, and West London",https://www.trustatrader.com/traders/clean-all-crew-ltd-garden-maintenance-harrow,trustatrader
Rosewood Maintenance & Landscaping Ltd,,Garden Maintenance,"Shepperton, Weybridge, Virginia waters, Chobham, Cobham, Woking, Walton, Chertsey, Staines, Surr",https://rosewoodgrounds.co.uk/,4.7,14,,07307 276040,vetted; Verified; verified,,"Shepperton, Weybridge, Virginia waters, Chobham, Cobham, Woking, Walton, Chertsey, Staines, Surr",https://www.trustatrader.com/traders/rosewood-maintenance-landscaping-ltd-garden-maintenance-ashford,trustatrader
DTG Garden Tree And Fence Care,,Garden Maintenance,"Herts, Essex and Bucks",https://www.trustagarage.com/,4.97,5,,07366 429574,vetted; Verified; verified,,"Herts, Essex and Bucks",https://www.trustatrader.com/traders/dtg-garden-tree-and-fence-care-garden-maintenance-epping-and-harlow,trustatrader
All Patio Design Limited,,Garden Maintenance,Surrey and covers a 80 mile radius,http://www.allpatiodesign.com/,4.88,68,,07307 249685,vetted; Verified; verified,,Surrey and covers a 80 mile radius,https://www.trustatrader.com/traders/all-patio-design-limited-garden-maintenance-woking,trustatrader
BD Fencing & Garden Services,,Garden Maintenance,"Dorking, Reigate, Bookham, Capel, Ockley, Horsham, Rusper and surrounding areas",https://www.trustagarage.com/,4.95,36,,07307 205906,vetted; Verified; verified,,"Dorking, Reigate, Bookham, Capel, Ockley, Horsham, Rusper and surrounding areas",https://www.trustatrader.com/traders/bd-fencing-garden-services-garden-maintenance-mole-valley-and-horsham-north,trustatrader
