company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
Albo Plumbing & Heating,,Plumber,London E13 and surrounding areas,https://albogroup.co.uk/,4.96,217,,07360 272353,vetted; Verified; verified,,London E13 and surrounding areas,https://www.trustatrader.com/traders/albo-plumbing-heating-plumbers-e13-and-e16,trustatrader
Tru-Heat Ltd,,Plumber,London,https://www.tru-heat.co.uk/,4.99,20,,07360 271890,"vetted; Verified; verified; Insurance
Verified",,London,https://www.trustatrader.com/traders/tru-heat-ltd-plumbers-finsbury-bloomsbury-and-city-of-london,trustatrader
Plumb London,,Plumber,London and surrounding areas,https://www.plumblondon.com/,4.78,239,,07360 267426,vetted; Verified; verified,,London and surrounding areas,https://www.trustatrader.com/traders/plumb-london-plumber,trustatrader
Turners Plumbing Services,,Plumber,South London,https://www.turnersplumbingservices.com/,4.99,48,,07710 555 855,"vetted; Verified; verified; insurance
Verified",,South London,https://www.trustatrader.com/traders/turners-plumbing-services-plumbers-se4-se14-and-se16,trustatrader
Monument Plumbing Services Ltd,,Plumber,all of London,http://www.monumentplumbingcompany.co.uk/,4.99,307,,07985 511 263,vetted; Verified; verified,,all of London,https://www.trustatrader.com/traders/monument-plumbing-services-ltd-plumbers-lewisham,trustatrader
Green Plumbers & Heating Services Ltd,,Plumber,South London,https://www.greenphs.co.uk/,4.97,66,,07307 206704,"vetted; Verified; verified; Insurance
Verified",,South London,https://www.trustatrader.com/traders/green-plumbers-heating-services-ltd-sw4-and-sw9,trustatrader
Mayfair Plumbers,,Plumber,London,https://www.mayfairplumbers.london/,4.93,89,,07307 224506,vetted; Verified; verified,,London,https://www.trustatrader.com/traders/mayfair-plumbers-e15-and-e3,trustatrader
Ace Rapid Plumbing,,Plumber,all of South East and South West areas,http://www.acerapidplumbing.co.uk/,4.93,557,,07584 136 988,"vetted; Verified; verified; Insurance
Verified",,all of South East and South West areas,https://www.trustatrader.com/traders/ace-rapid-plumbing-plumbers-southwark,trustatrader
Heatflow Plumbing & Gas Ltd,,Plumber,Walthamstow,https://www.heatflowplumbing.com/,4.87,47,,07307 206322,"vetted; Verified; verified; Insurance
Verified",,Walthamstow,https://www.trustatrader.com/traders/heatflow-plumbing-gas-ltd-plumbers-walthamstow,trustatrader
SP Plumbing,,Plumber,Essex,https://www.trustagarage.com/,4.86,75,10,07455 702753,vetted; Verified; verified,,Essex,https://www.trustatrader.com/traders/sp-plumbing-plumbers-waltham-forest,trustatrader
