company_name,owner_name,trade_type,location,website_url,overall_rating,review_count,years_experience,phone,verification_status,services,coverage_area,profile_url,source_platform
C Daye Plastering & Building Services,,Plasterer,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://www.trustagarage.com/,4.98,73,,07307 281240,vetted; Verified; verified,,your next agreed job with this trader for free by registering for the TrustATrader Guarantee,https://www.trustatrader.com/traders/c-daye-plastering-building-services-plastering-screeding-lambeth-,trustatrader
DC Plastering,,Plasterer,South East London and all surrounding areas,https://www.trustagarage.com/,4.89,58,,07360 271151,"vetted; Verified; verified; Insurance
Verified",,South East London and all surrounding areas,https://www.trustatrader.com/traders/dc-plastering-plastering-screeding-lewisham,trustatrader
Howard Scott Plastering,,Plasterer,SE23 and surrounding areas,https://www.trustagarage.com/,4.98,37,,07307 264389,vetted; Verified; verified,,SE23 and surrounding areas,https://www.trustatrader.com/traders/howard-scott-plastering-plastering-screeding-se6-and-se23,trustatrader
J Carolan Plastering Services,,Plasterer,all areas within 50 miles on North London,https://www.trustagarage.com/,4.79,18,,07307 201875,vetted; Verified; verified,,all areas within 50 miles on North London,https://www.trustatrader.com/traders/j-carolan-plastering-services-plastering-screeding-barnet,trustatrader
Kevin Pummell Plastering Services,,Plasterer,London and Surrounding areas within 20 miles,https://www.trustagarage.com/,4.95,131,14,07307 220849,"vetted; Verified; verified; Insurance
Verified",,London and Surrounding areas within 20 miles,https://www.trustatrader.com/traders/kevin-pummell-plastering-services-plastering-and-screeding-haringey,trustatrader
DK Plastering Ltd,,Plasterer,"Chingford, Walthamstow, Leyton,Woodford,Redbridge,Enfield, Waltham Abbey",https://www.trustagarage.com/,5.0,18,,07308 501205,"vetted; Verified; verified; Insurance
Verified",,"Chingford, Walthamstow, Leyton,Woodford,Redbridge,Enfield, Waltham Abbey",https://www.trustatrader.com/traders/dk-plastering-ltd-plastering-screeding-e4-and-ig9,trustatrader
DPC Plastering,,Plasterer,London,https://www.trustagarage.com/,4.97,19,,07307 203169,"vetted; Verified; verified; Insurance
Verified",,London,https://www.trustatrader.com/traders/dpc-plastering-plastering-screeding-islington,trustatrader
Hertford Drylining Ltd,,Plasterer,"London, Hertfordshire, Essex & Cambridgeshire",https://www.hertforddrylining.com/,4.77,5,,07886 081753,vetted; Verified; verified,,"London, Hertfordshire, Essex & Cambridgeshire",https://www.trustatrader.com/traders/hertford-drylining-ltd-plastering-screeding-nw3-and-nw8,trustatrader
Redbrick Plastering & Damp Services,,Plasterer,"Wandsworth, Wimbledon, Putney, Richmond and all surrounding areas",https://www.trustagarage.com/,4.98,67,22,07307 207034,vetted; Verified; verified,,"Wandsworth, Wimbledon, Putney, Richmond and all surrounding areas",https://www.trustatrader.com/traders/redbrick-plastering-damp-services-plastering-and-screeding-merton,trustatrader
EK Plastering,,Plasterer,"Bromley, Catford, Lewisham, Orpington, Dulwich, ,Sydenham, Penge, Crystal Palace, Plumstead, Woo",https://www.trustagarage.com/,4.86,47,,07360 279515,vetted; Verified; verified,,"Bromley, Catford, Lewisham, Orpington, Dulwich, ,Sydenham, Penge, Crystal Palace, Plumstead, Woo",https://www.trustatrader.com/traders/ek-plastering-plastering-screeding-se4-se14-and-se16,trustatrader
